Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-08,44.25,44.41,43.935,44.34,19677672.0,0.0,1.0,44.25,44.41,43.935,44.34,19677672.0
2018-03-07,44.03,44.39,43.8,44.2,22034446.0,0.0,1.0,44.03,44.39,43.8,44.2,22034446.0
2018-03-06,44.65,44.785,44.135,44.29,21929955.0,0.0,1.0,44.65,44.785,44.135,44.29,21929955.0
2018-03-05,43.92,44.765,43.7,44.52,22101667.0,0.0,1.0,43.92,44.765,43.7,44.52,22101667.0
2018-03-02,43.29,44.22,43.1,44.06,28848064.0,0.0,1.0,43.29,44.22,43.1,44.06,28848064.0
2018-03-01,44.68,45.0,43.35,43.8,32154328.0,0.0,1.0,44.68,45.0,43.35,43.8,32154328.0
2018-02-28,45.27,45.89,44.78,44.78,26346609.0,0.0,1.0,45.27,45.89,44.78,44.78,26346609.0
2018-02-27,45.41,45.61,44.62,45.04,26887782.0,0.0,1.0,45.41,45.61,44.62,45.04,26887782.0
2018-02-26,44.3,45.45,44.13,45.36,27226705.0,0.0,1.0,44.3,45.45,44.13,45.36,27226705.0
2018-02-23,43.37,44.04,42.92,44.0,24855689.0,0.0,1.0,43.37,44.04,42.92,44.0,24855689.0
2018-02-22,43.49,43.56,42.75,42.94,25627449.0,0.0,1.0,43.49,43.56,42.75,42.94,25627449.0
2018-02-21,44.11,44.42,43.28,43.31,27128222.0,0.0,1.0,44.11,44.42,43.28,43.31,27128222.0
2018-02-20,44.0,44.69,43.81,44.06,26258211.0,0.0,1.0,44.0,44.69,43.81,44.06,26258211.0
2018-02-16,43.885,45.09,43.79,44.33,37915915.0,0.0,1.0,43.885,45.09,43.79,44.33,37915915.0
2018-02-15,45.065,45.13,43.26,44.08,71490591.0,0.0,1.0,45.065,45.13,43.26,44.08,71490591.0
2018-02-14,41.04,42.26,40.99,42.09,39880261.0,0.0,1.0,41.04,42.26,40.99,42.09,39880261.0
2018-02-13,40.5,41.31,40.22,41.23,29220084.0,0.0,1.0,40.5,41.31,40.22,41.23,29220084.0
2018-02-12,40.515,40.91,40.225,40.6,37320696.0,0.0,1.0,40.515,40.91,40.225,40.6,37320696.0
2018-02-09,39.0,39.92,38.23,39.51,47947702.0,0.0,1.0,39.0,39.92,38.23,39.51,47947702.0
2018-02-08,40.44,40.76,38.72,38.73,39300118.0,0.0,1.0,40.44,40.76,38.72,38.73,39300118.0
2018-02-07,40.31,41.206,40.03,40.34,31841942.0,0.0,1.0,40.31,41.206,40.03,40.34,31841942.0
2018-02-06,38.33,40.305,37.35,40.17,52940550.0,0.0,1.0,38.33,40.305,37.35,40.17,52940550.0
2018-02-05,40.87,41.405,39.08,39.09,39491216.0,0.0,1.0,40.87,41.405,39.08,39.09,39491216.0
2018-02-02,41.5,41.95,40.87,40.93,25920378.0,0.0,1.0,41.5,41.95,40.87,40.93,25920378.0
2018-02-01,41.09,42.11,40.67,41.7,26001606.0,0.0,1.0,41.09,42.11,40.67,41.7,26001606.0
2018-01-31,41.98,42.01,41.35,41.54,34571282.0,0.0,1.0,41.98,42.01,41.35,41.54,34571282.0
2018-01-30,42.685,42.86,41.97,42.25,25671649.0,0.0,1.0,42.685,42.86,41.97,42.25,25671649.0
2018-01-29,42.3,42.98,42.3,42.85,23053104.0,0.0,1.0,42.3,42.98,42.3,42.85,23053104.0
2018-01-26,42.15,42.56,41.95,42.56,22637421.0,0.0,1.0,42.15,42.56,41.95,42.56,22637421.0
2018-01-25,42.27,42.47,41.82,41.9,18610206.0,0.0,1.0,42.27,42.47,41.82,41.9,18610206.0
2018-01-24,42.2,42.685,42.01,42.17,25739984.0,0.0,1.0,42.2,42.685,42.01,42.17,25739984.0
2018-01-23,41.54,42.13,41.54,42.1,21069503.0,0.0,1.0,41.54,42.13,41.54,42.1,21069503.0
2018-01-22,41.2,41.66,41.02,41.66,21794682.0,0.0,1.0,41.2,41.66,41.02,41.66,21794682.0
2018-01-19,41.28,41.52,41.1,41.29,23554383.0,0.0,1.0,41.28,41.52,41.1,41.29,23554383.0
2018-01-18,41.24,41.48,41.03,41.3,17450956.0,0.0,1.0,41.24,41.48,41.03,41.3,17450956.0
2018-01-17,40.84,41.32,40.705,41.2,23612126.0,0.0,1.0,40.84,41.32,40.705,41.2,23612126.0
2018-01-16,40.9,41.16,40.32,40.54,32273879.0,0.0,1.0,40.9,41.16,40.32,40.54,32273879.0
2018-01-12,40.22,40.93,40.05,40.87,22962700.0,0.0,1.0,40.22,40.93,40.05,40.87,22962700.0
2018-01-11,40.14,40.21,39.75,40.1,20178596.0,0.0,1.0,40.14,40.21,39.75,40.1,20178596.0
2018-01-10,39.65,40.24,39.63,39.91,19110146.0,0.0,1.0,39.65,40.24,39.63,39.91,19110146.0
2018-01-09,39.79,39.96,39.54,39.69,21339760.0,0.0,1.0,39.79,39.96,39.54,39.69,21339760.0
2018-01-08,39.52,39.96,39.35,39.94,16511704.0,0.0,1.0,39.52,39.96,39.35,39.94,16511704.0
2018-01-05,39.55,39.88,39.365,39.53,24369510.0,0.0,1.0,39.55,39.88,39.365,39.53,24369510.0
2018-01-04,39.05,39.54,38.93,38.99,20606344.0,0.0,1.0,39.05,39.54,38.93,38.99,20606344.0
2018-01-03,38.72,39.285,38.53,39.17,29066090.0,0.0,1.0,38.72,39.285,38.53,39.17,29066090.0
2018-01-02,38.67,38.95,38.43,38.86,19972431.0,0.0,1.0,38.67,38.95,38.43,38.86,19972431.0
2017-12-29,38.41,38.62,38.3,38.3,12359455.0,0.0,1.0,38.41,38.62,38.3,38.3,12359455.0
2017-12-28,38.73,38.73,38.45,38.59,8662664.0,0.0,1.0,38.73,38.73,38.45,38.59,8662664.0
2017-12-27,38.54,38.65,38.45,38.56,10262927.0,0.0,1.0,38.54,38.65,38.45,38.56,10262927.0
2017-12-26,38.55,38.68,38.36,38.48,8148042.0,0.0,1.0,38.55,38.68,38.36,38.48,8148042.0
2017-12-22,38.52,38.74,38.47,38.55,11120656.0,0.0,1.0,38.52,38.74,38.47,38.55,11120656.0
2017-12-21,38.88,38.995,38.49,38.53,16188471.0,0.0,1.0,38.88,38.995,38.49,38.53,16188471.0
2017-12-20,38.49,38.8,38.21,38.74,18701741.0,0.0,1.0,38.49,38.8,38.21,38.74,18701741.0
2017-12-19,38.66,38.86,38.28,38.3,18478762.0,0.0,1.0,38.66,38.86,38.28,38.3,18478762.0
2017-12-18,38.48,38.89,38.3,38.48,21036306.0,0.0,1.0,38.48,38.89,38.3,38.48,21036306.0
2017-12-15,38.01,38.28,37.7,38.19,36491640.0,0.0,1.0,38.01,38.28,37.7,38.19,36491640.0
2017-12-14,38.2,38.27,37.855,37.9,16556403.0,0.0,1.0,38.2,38.27,37.855,37.9,16556403.0
2017-12-13,38.09,38.37,38.0,38.15,19934529.0,0.0,1.0,38.09,38.37,38.0,38.15,19934529.0
2017-12-12,37.79,38.1,37.56,37.91,16451320.0,0.0,1.0,37.79,38.1,37.56,37.91,16451320.0
2017-12-11,37.59,38.04,37.57,37.96,15619388.0,0.0,1.0,37.59,38.04,37.57,37.96,15619388.0
2017-12-08,37.59,37.69,37.42,37.61,13777371.0,0.0,1.0,37.59,37.69,37.42,37.61,13777371.0
2017-12-07,37.26,37.78,37.26,37.4,15189086.0,0.0,1.0,37.26,37.78,37.26,37.4,15189086.0
2017-12-06,37.37,37.72,37.25,37.41,16312845.0,0.0,1.0,37.37,37.72,37.25,37.41,16312845.0
2017-12-05,37.74,37.82,37.17,37.31,22743474.0,0.0,1.0,37.74,37.82,37.17,37.31,22743474.0
2017-12-04,37.81,37.99,37.54,37.72,29006129.0,0.0,1.0,37.81,37.99,37.54,37.72,29006129.0
2017-12-01,37.09,37.66,36.73,37.6,26851147.0,0.0,1.0,37.09,37.66,36.73,37.6,26851147.0
2017-11-30,37.62,37.8,37.3,37.3,28692862.0,0.0,1.0,37.62,37.8,37.3,37.3,28692862.0
2017-11-29,37.75,38.025,37.23,37.48,36640805.0,0.0,1.0,37.75,38.025,37.23,37.48,36640805.0
2017-11-28,37.0,37.8,36.98,37.73,30097816.0,0.0,1.0,37.0,37.8,36.98,37.73,30097816.0
2017-11-27,36.51,37.09,36.5,36.87,20667352.0,0.0,1.0,36.51,37.09,36.5,36.87,20667352.0
